,Area (m2),Property Type,Bedrooms,Bathrooms,Address,Law Document,Quarter,Year,Latitude,Longitude,Postal Code,Importance,Place Rank,City,Price (billion VND)
4308,63.6,2.0,2.0,2.0,3895.0,6.0,3.0,2023.0,10.787941923469427,106.70426067172602,71006.0,0.0534003669794765,26.0,0.0,11.0
1293,74.12,0.0,2.0,2.0,1519.0,4.0,2.0,2023.0,10.76368103541117,106.69928572328354,71010.0,0.0534003669794765,26.0,0.0,7.5
5448,58.6,2.0,2.0,2.0,3155.0,6.0,4.0,2022.0,10.749189040868464,106.62543429300204,73118.0,0.0534003669794765,26.0,0.0,10.0
25916,30.0,2.0,4.0,2.0,4509.0,5.0,2.0,2019.0,21.00593,105.83789,10181.0,0.0400728305485618,27.0,1.0,4.45
24104,128.0,2.0,3.0,2.0,7287.0,6.0,2.0,2023.0,21.0141693,105.7775539,10074.0,7.283054856179167e-05,30.0,1.0,4.5
10516,77.0,0.0,2.0,2.0,7106.0,6.0,2.0,2019.0,21.08501,105.87151,11810.0,0.0534061638818951,26.0,1.0,1.6
1698,32.0,0.0,1.0,1.0,1453.0,6.0,4.0,2022.0,10.792547215458944,106.6420708791677,72012.0,0.0534003669794765,26.0,0.0,1.35
3171,45.2,0.0,1.0,1.0,5896.0,6.0,3.0,2022.0,10.77422986453947,106.6352642074654,72031.0,0.0534003669794765,26.0,0.0,2.1
5404,66.1,2.0,4.0,3.0,5386.0,6.0,4.0,2022.0,10.776702995901024,106.65365025534794,72000.0,0.0534003669794765,26.0,0.0,10.5
9934,35.0,0.0,3.0,4.0,3589.0,3.0,2.0,2019.0,21.05911,105.86506,11810.0,0.0534061638818951,26.0,1.0,2.6
498,75.0,0.0,2.0,2.0,6277.0,5.0,4.0,2023.0,10.717723683368208,106.60213237132751,73118.0,0.0534003669794765,26.0,0.0,3.5
4597,59.2,2.0,3.0,2.0,5489.0,6.0,1.0,2023.0,10.882497177184982,106.65267756955063,71514.0,0.0534003669794765,26.0,0.0,3.05
11467,94.7,0.0,2.0,2.0,2828.0,4.0,3.0,2022.0,21.07152673302861,105.81183659964684,10206.0,7.283054856179167e-05,30.0,1.0,8.0
13320,112.0,0.0,3.0,2.0,2900.0,6.0,4.0,2020.0,21.00886792257869,105.77445250426028,10161.0,0.0534061638818951,26.0,1.0,5.8
25889,25.0,2.0,4.0,2.0,2721.0,3.0,2.0,2019.0,21.03279,105.82528,10060.0,0.0400728305485618,27.0,1.0,2.88
33646,95.0,4.0,4.0,2.0,6313.0,3.0,2.0,2020.0,10.8019128,106.7647475,71210.0,0.0534003669794765,26.0,1.0,10.2
12916,60.0,0.0,4.0,2.0,5286.0,3.0,4.0,2020.0,21.020889,105.8158204,10265.0,7.283054856179167e-05,30.0,1.0,1.8
21014,40.0,3.0,1.0,1.0,2116.0,3.0,2.0,2019.0,21.02607,105.84613,11019.0,7.283054856179167e-05,30.0,1.0,3.8
3204,60.0,0.0,2.0,2.0,4079.0,4.0,3.0,2022.0,10.849700935856884,106.68099430291106,70048.0,0.0534003669794765,26.0,0.0,2.25
6676,92.9,2.0,3.0,3.0,3125.0,6.0,3.0,2022.0,10.893842998375147,106.58642196382068,71717.0,0.0534003669794765,26.0,0.0,7.5
1344,81.5,0.0,2.0,2.0,4967.0,6.0,1.0,2023.0,10.8322102,106.7247962,10000.0,0.2522941968270874,16.0,0.0,2.86
15334,35.0,0.0,1.0,1.0,4467.0,6.0,4.0,2022.0,21.0437208,105.9259271,8443.0,7.283054856179167e-05,30.0,1.0,1.79
3371,47.0,0.0,1.0,1.0,4582.0,4.0,2.0,2022.0,10.84816049872415,106.64798930931678,71500.0,0.0534003669794765,26.0,0.0,1.6
